City,Ethnicity/Race,Religion,Sexual Orientation
Clark,1,0,1
Cowlitz,0,0,0
King,17,2,4
Kitsap,1,0,0
Pierce,1,1,0
Skagit,2,0,0
Snohomish,3,1,1
Spokane,4,1,0
Stevens,0,0,1
Whatcom,1,1,0
Yakima,3,0,0
Nonmetropolitan Counties,4,0,0
Clallam,2,0,0
Island,1,0,0
Lewis,1,0,0
Other Agencies,0,1,0
Port of Seattle,0,1,0
Total,,39,18
Cities,29,14,4
Appleton,2,0,0
Barron,1,0,0
Beloit,0,1,0
Campbell Township,0,1,0
Chippewa Falls,0,0,0
Ellsworth,1,0,0
Fond du Lac,0,2,0
Green Bay,1,1,0
Hudson,0,0,1
Janesville,2,1,0
Jefferson,1,0,0
Juneau,1,0,0
La Crosse,0,1,0
Lake Delton,1,0,0
Madison,3,1,3
Mayville,2,0,0
Menasha,1,0,0
Milwaukee,2,0,0
Monroe,4,0,0
Neenah,1,0,0
New London,0,1,0
North Fond du Lac,0,0,0
Oshkosh,0,2,0
Platteville,1,0,0
Port Washington,1,0,0
Rice Lake,1,0,0
Ripon,0,1,0
Sheboygan,1,0,0
Town of Madison,1,0,0
Wauwatosa,0,1,0
Winneconne,0,1,0
Wisconsin Rapids,1,0,0
Metropolitan Counties,4,4,0
Columbia,0,2,0
Dane,1,0,0
Douglas,1,0,0
Iowa,1,0,0
Outagamie,0,1,0
Rock,1,1,0
Nonmetropolitan Counties,6,0,1
Dodge,2,0,1
Manitowoc,1,0,0
Monroe,1,0,0
Oneida,1,0,0
Sauk,1,0,0
Total,,18,6
Cities,8,1,2
Huntington,2,0,1
Morgantown,2,0,0
Moundsville,1,0,0
St. Albans,0,0,0
Wheeling,3,1,0
White Sulphur Springs,0,0,1
Metropolitan Counties,4,1,0
Hancock,2,0,0
Kanawha,0,1,0
Monongalia,1,0,0
Putnam,1,0,0
Nonmetropolitan Counties,5,1,0
Hardy,0,0,0
Lewis,2,1,0
Mason,3,0,0
State Police Agencies,1,3,0
State Police:,,,
Bridgeport,0,1,0
Hamlin,0,0,0
Morgantown,1,0,0
Wayne,0,2,0
Other Agencies,0,0,1
Metropolitan Drug Enforcement Network Team,0,0,1
Total,,4,0
Cities,3,0,1
Cody,1,0,0
Evanston,1,0,0
Laramie,0,0,1
Sheridan,1,0,0
Universities and Colleges,1,0,0
University of Wyoming,1,0,0
